Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng
20251,TDDT,161562,161562,ET2100,Cấu trúc dữ liệu và giải thuật,2(2-1-0-4),**Tài năng Điện tử VT-K69S,1,Tue,0920-1145,4,6,Sáng,"2-9,11-19",C7-234
20251,TDDT,161566,161566,EE2012,Kỹ thuật điện,2(2-1-0-4),**Tài năng Cơ điện tử-K69S,1,Fri,0645-0910,1,3,Sáng,"2-9,11-19",C7-213
20251,TDDT,161577,161577,EE4604,Các hệ thống thời gian thực,2(2-0-0-4),**PFIEV-Tin học công nghiệp-K66C,1,Mon,1230-1400,1,2,Chiều,"2-9,11-19",C7-214
20251,TDDT,161578,161578,EE4605,Mô hình hoá các hệ thống rời rạc,2(2-1-0-4),**PFIEV-Tin học công nghiệp-K66C,1,Wed,1505-1730,4,6,Chiều,"2-9,11-19",C7-105
20251,TDDT,161579,161579,EE4607,Robot công nghiệp,3(3-0-0-6),**PFIEV-Tin học công nghiệp-K66C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-105
20251,TDDT,161580,161580,EE4608,Đo và điều khiển công nghiệp,3(3-0-1-4),**PFIEV-Tin học công nghiệp-K66C,1,Wed,1230-1455,1,3,Chiều,"2-9,11-19",C7-105
20251,TDDT,161581,161581,EE4616,Cảm biến và đo lường thông minh,3(3-1-0-6),**PFIEV-Tin học công nghiệp-K66C,1,Mon,1410-1730,3,6,Chiều,"2-9,11-19",C7-214
20251,TDDT,161582,161582,EE4611,An ninh và quản trị mạng,3(3-0-0-6),**PFIEV-Tin học công nghiệp-K66C,1,Tue,1230-1455,1,3,Chiều,"2-9,11-19",C7-105
20251,TDDT,161588,161588,EE3676,Thiết bị đo điện tử,3(3-1-0-6),**PFIEV-Tin học công nghiệp-K67S,1,Mon,0645-1005,1,4,Sáng,"2-9,11-19",C7-105
20251,TDDT,161589,161589,EE3649,Cơ sở điện tử công suất,3(3-0-1-6),**PFIEV-Tin học công nghiệp-K67S,1,Fri,0920-1145,4,6,Sáng,"2-9,11-19",C7-119
20251,TDDT,161590,161590,EE4226,Điều khiển logic và PLC,3(3-1-0-6),**PFIEV-Tin học công nghiệp-K67S,1,Mon,1015-1145,5,6,Sáng,"2-9,11-19",C7-105
20251,TDDT,161590,161590,EE4226,Điều khiển logic và PLC,3(3-1-0-6),**PFIEV-Tin học công nghiệp-K67S,2,Wed,1015-1145,5,6,Sáng,"2-9,11-19",C7-105
20251,TDDT,161592,161592,EE3196,Máy điện ,3(2-1-1-4),**PFIEV-Tin học công nghiệp-K67C,1,Wed,1230-1455,1,3,Chiều,"2-9,11-19",C7-125
20251,TDDT,161594,161594,EE2130,Thiết kế hệ thống số,3(3-0-1-6),**PFIEV-Tin học công nghiệp-K68C,1,Tue,1230-1455,1,3,Chiều,"2-9,11-19",C7-213
20251,TDDT,161595,161595,EE3110,Kỹ thuật đo lường,3(3-0-1-6),**PFIEV-Tin học công nghiệp-K68C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-213
20251,TDDT,161596,161596,EE3480,Vi xử lý,3(3-0-1-6),**PFIEV-Tin học công nghiệp-K68C,1,Thu,1505-1730,4,6,Chiều,"2-9,11-19",C7-213
20251,TDDT,161597,161597,EE4220,Điều khiển logic và PLC,3(3-0-1-6),**PFIEV-Tin học công nghiệp-K68C,1,Thu,1230-1455,1,3,Chiều,"2-9,11-19",C7-213
20251,TDDT,161614,161614,EE3618,Biến đổi tín hiệu và ứng dụng,3(3-1-0-6),**PFIEV-Tin học công nghiệp-K69S,1,Thu,0730-1455,2,3,Sáng,"2-9,11-19",C7-212
20251,TDDT,161614,161614,EE3618,Biến đổi tín hiệu và ứng dụng,3(3-1-0-6),**PFIEV-Tin học công nghiệp-K69S,2,Fri,1015-1145,5,6,Sáng,"2-9,11-19",C7-212
20251,TDDT,161615,161615,EE3617,Mạch và năng lượng điện,3(2-1-1-4),**PFIEV-Tin học công nghiệp-K69S,1,Tue,0920-1145,4,6,Sáng,"2-9,11-19",C7-212
20251,TDDT,161651,161651,ET4080E,Cơ sở kỹ thuật mạng,3(3-1-0-6),**CTTT-ĐTVT-K67C,1,Tue,1230-1550,1,4,Chiều,"2-9,11-19",C7-203
20251,TDDT,161652,161652,ET4240E,Truyền thông vô tuyến,3(3-1-0-6),**CTTT-ĐTVT-K67C,1,Thu,1410-1730,3,6,Chiều,"2-9,11-19",C7-212
20251,TDDT,161653,161653,ET5080E,Thiết kế số sử dụng VHDL,3(3-1-0-6),**CTTT-ĐTVT-K67C,1,Tue,1600-1730,5,6,Chiều,"2-9,11-19",C7-203
20251,TDDT,161653,161653,ET5080E,Thiết kế số sử dụng VHDL,3(3-1-0-6),**CTTT-ĐTVT-K67C,2,Thu,1230-1400,1,2,Chiều,"2-9,11-19",C7-212
20251,TDDT,161655,161655,ET4750E,Kỹ thuật lập trình nội dung số,2(2-1-0-4),**CTTT-Đa phương tiện-K67C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-128
20251,TDDT,161656,161656,ET4362E,Hệ thống nhúng đa phương tiện,3(2-1-1-4),**CTTT-Đa phương tiện-K67C,1,Wed,1505-1730,4,6,Chiều,"2-9,11-19",C7-213
20251,TDDT,161658,161658,ET4250E,Hệ thống viễn thông,3(3-1-0-6),**CTTT-Đa phương tiện-K67C,1,Mon,1230-1550,1,4,Chiều,"2-9,11-19",C7-230
20251,TDDT,161659,161659,ET4500E,Xử lý ảnh y tế,3(3-0-1-6),**CTTT-KT y sinh-K67C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-117
20251,TDDT,161660,161660,ET4550E,An toàn bức xạ và an toàn điện trong y tế,2(2-1-0-4),**CTTT-KT y sinh-K67C,1,Tue,1230-1455,1,3,Chiều,"2-9,11-19",C7-117
20251,TDDT,161661,161661,ET4235E,IoT trong y tế,3(3-1-0-6),**CTTT-KT y sinh-K67C,1,Mon,1410-1730,3,6,Chiều,"2-9,11-19",C7-117
20251,TDDT,161662,161662,ET4596E,Tin sinh học,3(3-1-0-6),**CTTT-KT y sinh-K67C,1,Thu,1230-1550,1,4,Chiều,"2-9,11-19",C7-108
20251,TDDT,161663,161663,ET4265E,Kỹ thuật thần kinh,3(3-1-0-6),**CTTT-KT y sinh-K67C,1,Mon,1230-1400,1,2,Chiều,"2-9,11-19",C7-117
20251,TDDT,161663,161663,ET4265E,Kỹ thuật thần kinh,3(3-1-0-6),**CTTT-KT y sinh-K67C,2,Thu,1600-1730,5,6,Chiều,"2-9,11-19",C7-108
20251,TDDT,161664,161664,EE3550E,Điều khiển quá trình,3(3-1-0-6),**CTTT-ĐK&TĐH-K67C,1,Fri,1230-1550,1,4,Chiều,"2-9,11-19",C7-128
20251,TDDT,161665,161665,EE3423E,Nhập môn hệ thống điện,3(3-1-0-6),**CTTT-ĐK&TĐH-K67C,1,Mon,1410-1730,3,6,Chiều,"2-9,11-19",C7-238
20251,TDDT,161666,161666,EE4221E,Điều khiển logic và PLC,3(3-0-1-6),**CTTT-ĐK&TĐH-K67C,1,Thu,1230-1455,1,3,Chiều,"2-9,11-19",C7-238
20251,TDDT,161667,161667,EE4435E,Hệ thống điều khiển số,3(3-1-0-6),**CTTT-ĐK&TĐH-K67C,1,Mon,1230-1400,1,2,Chiều,"2-9,11-19",C7-238
20251,TDDT,161667,161667,EE4435E,Hệ thống điều khiển số,3(3-1-0-6),**CTTT-ĐK&TĐH-K67C,2,Thu,1505-1645,4,5,Chiều,"2-9,11-19",C7-238
20251,TDDT,161668,161668,EE4430E,Mô hình hóa và mô phỏng hệ thống điều khiển,3(3-0-0-6),**CTTT-ĐK&TĐH-K67C,1,Tue,1230-1455,1,3,Chiều,"2-9,11-19",C7-234
20251,TDDT,161669,161669,EE4430E,Mô hình hóa và mô phỏng hệ thống điều khiển,3(3-0-0-6),**CTTT-ĐK&TĐH-K67C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-238
20251,TDDT,161670,161670,EE3601E,Hệ thống đo và điều khiển công nghiệp,3(3-0-1-6),**CTTT-ĐK&TĐH-K67C,1,Tue,1505-1730,4,6,Chiều,"2-9,11-19",C7-234
20251,TDDT,161671,161671,EE3601E,Hệ thống đo và điều khiển công nghiệp,3(3-0-1-6),**CTTT-ĐK&TĐH-K67C,1,Tue,1230-1455,1,3,Chiều,"2-9,11-19",C7-238
20251,TDDT,161672,161672,EE4401E,Thiết kế hệ điều khiển nhúng (BTL),3(2-2-0-6),**CTTT-ĐK&TĐH-K67C,1,Wed,1230-1455,1,3,Chiều,"2-9,11-19",C7-228
20251,TDDT,161673,161673,EE4401E,Thiết kế hệ điều khiển nhúng (BTL),3(2-2-0-6),**CTTT-ĐK&TĐH-K67C,1,Wed,1505-1730,4,6,Chiều,"2-9,11-19",C7-230
20251,TDDT,161674,161674,EE3510E,Truyền động điện,3(3-0-1-6),**CTTT-ĐK&TĐH-K67C,1,Wed,1505-1730,4,6,Chiều,"2-9,11-19",C7-228
20251,TDDT,161675,161675,EE3510E,Truyền động điện,3(3-0-1-6),**CTTT-ĐK&TĐH-K67C,1,Wed,1230-1455,1,3,Chiều,"2-9,11-19",C7-230
20251,TDDT,161676,161676,EE4040E,Bảo vệ và điều khiển hệ thống điện,3(3-1-1-6),**CTTT-HTĐ & NL tái tạo-K67C,1,Thu,1410-1730,3,6,Chiều,"2-9,11-19",D8-103
20251,TDDT,161677,161677,EE4032E,Nhà máy điện và trạm biến áp,3(3-1-0-6),**CTTT-HTĐ & NL tái tạo-K67C,1,Tue,1230-1550,1,4,Chiều,"2-9,11-19",D8-103
20251,TDDT,161678,161678,EE4052E,Kỹ thuật điện cao áp,3(3-1-0-6),**CTTT-HTĐ & NL tái tạo-K67C,1,Wed,1410-1730,3,6,Chiều,"2-9,11-19",C7-130
20251,TDDT,161679,161679,EE4116E,Tự động hóa hệ thống điện,3(3-1-0-6),**CTTT-HTĐ & NL tái tạo-K67C,1,Wed,1230-1400,1,2,Chiều,"2-9,11-19",C7-130
20251,TDDT,161679,161679,EE4116E,Tự động hóa hệ thống điện,3(3-1-0-6),**CTTT-HTĐ & NL tái tạo-K67C,2,Fri,1505-1645,4,5,Chiều,"2-9,11-19",C7-130
20251,TDDT,161680,161680,EE4600E,Hiệu quả năng lượng,2(2-1-0-4),**CTTT-HTĐ & NL tái tạo-K67C,1,Fri,1230-1455,1,3,Chiều,"2-9,11-19",C7-130
20251,TDDT,161681,161681,EE4010E,Phân tích Hệ thống điện,3(3-1-1-6),**CTTT-HTĐ & NL tái tạo-K67C,1,Tue,1600-1730,5,6,Chiều,"2-9,11-19",D8-103
20251,TDDT,161681,161681,EE4010E,Phân tích Hệ thống điện,3(3-1-1-6),**CTTT-HTĐ & NL tái tạo-K67C,2,Thu,1230-1400,1,2,Chiều,"2-9,11-19",D8-103
20251,TDDT,161730,161730,ET4340,Thiết kế VLSI,3(3-1-0-6),**CTTT-HT nhúng & IoT -K67S,1,Wed,0825-1145,3,6,Sáng,"2-9,11-19",C7-238
20251,TDDT,161731,161731,ET4231,Mạng máy tính và IoT,3(3-0-1-6),**CTTT-HT nhúng & IoT -K67C,1,Wed,1505-1730,4,6,Chiều,"2-9,11-19",C7-128
20251,TDDT,161739,161739,EE3359E,Lý thuyết điều khiển tự động,3(3-1-0-6),**CTTT-Cơ điện tử-K68S,1,Fri,0645-1005,1,4,Sáng,"2-9,11-19",D8-402
20251,TDDT,161740,161740,EE3359E,Lý thuyết điều khiển tự động,3(3-1-0-6),**CTTT-Cơ điện tử-K68S,1,Wed,1015-1145,5,6,Sáng,"2-9,11-19",D8-402
20251,TDDT,161740,161740,EE3359E,Lý thuyết điều khiển tự động,3(3-1-0-6),**CTTT-Cơ điện tử-K68S,2,Fri,1015-1145,5,6,Sáng,"2-9,11-19",D8-402
